,Unnamed: 0,Tweet,Usuario,Fecha,RTs,Favs,Polaridad,Subjetividad,Sentimiento,Negativo,Neutral,Positivo,Compuesto
0,0,biden advierte que es altamente probable una tercera guerra mundial. el papa francisco dice que ya ha comenzado. medved…,Luna27508964,2022-06-21 01:36:40,164,0,0.0,0.0,Positivo,0.0,0.882,0.118,0.34
1,1,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",JuanAlbertoJP,2022-06-21 01:36:29,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
2,2,@luisaro91632083 ves que eres un bruto?. animal. bolsonaro le dio su apoyo a putin hace unos meses y los democratas… ,GLADYSC97635771,2022-06-21 01:36:24,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
3,3,  como la caida de la union sovietica empujo a putin a intentar recuperar la importancia global de rusia ,LaRedRevela,2022-06-21 01:36:18,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
4,4,@elpaiscr “mira como me pongo” le dijo putin,kikearte2,2022-06-21 01:35:56,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
5,5,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",GASAMO92,2022-06-21 01:35:56,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
6,6,"@pontifex_es cerra el orto hipócrita!!!!!   sos amigo de putin , maduro , los castro , ortega , xi jinping …..  sos… ",PatriotaRoca,2022-06-21 01:35:52,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
7,7,vencen los rusos! suecia y finlandia no estarán en la otan. importante aliado de putin los vetó ,AMLO3Proyectos,2022-06-21 01:35:48,2,0,0.0,0.0,Negativo,0.142,0.858,0.0,-0.3595
8,8,"2. the wall street journal @wsj tiene su portada un retrato de putin, y debajo una nota de @wsjforero  y @davidluhnow sobre l…",Caubral,2022-06-21 01:35:46,76,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
9,9,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,wilman825,2022-06-21 01:35:40,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
10,10,un dia como hoy del mes de marzo de 2022 el cirujano filipino nelson castro sostuvo q el meme de putin montando un… ,LuxAeternaak47,2022-06-21 01:35:38,0,1,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
11,11,"putin: ""a empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" ",lima_lavanda,2022-06-21 01:35:38,163,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
12,12,el presidente putin sera recordado por la historia como el hombre que cambio o hizo el nuevo orden mundial y destrono a lo…,andresnen0,2022-06-21 01:35:31,19,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
13,13,"lituania ha sancionado el paso por su territorio de mercancias rusas desde y hacia kaliningrado.la respuesta de putin, iri…",jjvaldezbplus,2022-06-21 01:35:31,7,0,0.0,0.0,Positivo,0.0,0.876,0.124,0.34
14,14,"putin veia como  zelenski utilizaba sus tropas para bombardear su propia poblacion, occidente les vendia armamento, el cual…",PrometeoNews,2022-06-21 01:35:12,54,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
15,15,"putin felicito al nuevo presidente de  colombia g. petro...  """"nuestros pueblos trabajarán para llevar prosperidad a la po…",RubenMarzialet1,2022-06-21 01:35:12,110,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
16,16,@lalocadelhacha @hambiasecas @serrano_fraile @serigne_mbaye_ asi de claro. sera tan dificil para los pro putin pode… ,ElbaMacias14,2022-06-21 01:35:08,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
17,17,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,litocesar,2022-06-21 01:35:02,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
18,18,¿the independent es ahora un medio ruso? ¿quienes arman a ucrania? ¿quienes dijeron que habia que destruir a rusia? yo c…,Vicente02468721,2022-06-21 01:35:01,6,0,0.0,0.125,Neutral,0.0,1.0,0.0,0.0
19,19,y lo que falta para que putin envie sus rockets a destruir este pais,arbet70,2022-06-21 01:34:51,1,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
20,20,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",catecuci1,2022-06-21 01:34:45,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
21,21,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,ejpc144,2022-06-21 01:34:42,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
22,22,si bien la amenaza de putin de recurrir a un arma nuclear tactica sobre el terreno en ucrania puede bien ser una fanf…,AVelqz,2022-06-21 01:34:41,70,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
23,23,"a listen traje de luces para el 7 de agosto, invitados de honor a la posesion del mesias vendran los tiranos de ame… ",ClaudiaLuci1018,2022-06-21 01:34:41,0,1,0.0,0.0,Positivo,0.0,0.856,0.144,0.4939
24,24,putin san petesburgo: viendo y escuchando cada dia me convenzo mas q nada justificaba la aplicacion en venezuela d maner…,izquierdaunidav,2022-06-21 01:34:14,272,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
25,25,@coffeeandpaul @binealarm @sankuperis (please translate) rusia no es una democracia y putin tiene un aparato de pro… ,gerardochaconf,2022-06-21 01:33:47,0,0,0.0,0.0,Negativo,0.128,0.872,0.0,-0.296
26,26,"putin llega a america , y en bandeja de plata la prostituta centro america , esta a la venta al mejor postor , se l… ",mikediaz1224,2022-06-21 01:33:23,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
27,27,biden advierte que es altamente probable una tercera guerra mundial. el papa francisco dice que ya ha comenzado. medved…,HoracioRubio97,2022-06-21 01:32:54,164,0,0.0,0.0,Positivo,0.0,0.882,0.118,0.34
28,28,"@rocioca02293787 si. he visto las imagenes grabadas por varias personas y al parecer era eso, pero, aparte de impre… ",Waytankung,2022-06-21 01:32:51,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
29,29," putin advierte fin del mundo, gates mas crisis, colombia socialista, ¿assange extraditado?  ",mikyfirst,2022-06-21 01:32:51,18,0,0.0,0.0,Negativo,0.272,0.728,0.0,-0.6249
30,30,"@lupitajuarezh ¿porque habiendo rusos como dmitry muratov, no hay mas que tengan el valor para enfrentarse a putin… ",PartidoParlame1,2022-06-21 01:32:43,0,0,0.0,0.0,Negativo,0.121,0.879,0.0,-0.296
31,31,"@leonkrauze @americanair culpa de putin o  de lopez? aqui no dices nada de biden y compañia, al parecer el chayote… ",Juan84387565,2022-06-21 01:32:41,0,0,0.0,0.0,Negativo,0.115,0.885,0.0,-0.296
32,32,¿putin ha traido mas prosperidad a rusia? no.¿ha perjudicado alguna vez al imperialismo norteamericano? no¿esta realm…,HoracioRubio97,2022-06-21 01:32:36,59,0,0.0,0.0,Positivo,0.0,0.835,0.165,0.4137
33,33,seria una lastima que un avion de combate ucraniano pierda el rumbo y por error bombardee este palacio de 1000 millones d…,EduChristello,2022-06-21 01:32:36,1,0,0.0,0.0,Negativo,0.119,0.881,0.0,-0.4019
34,34,@gerardotc icbm de putin de camino a rota? igual dan un rodeo para despistar.,jr_meca,2022-06-21 01:32:29,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
35,35," putin advierte fin del mundo, gates mas crisis, colombia socialista, ¿assange extraditado?  ",Angel59984766,2022-06-21 01:32:27,18,0,0.0,0.0,Negativo,0.272,0.728,0.0,-0.6249
36,36,@lbgeraldino_n @miguelsabat @clcairo @doblerrster @rascanio57 @fmoral1959 @toroalvarol esto lo sabemos. el perjuici… ,zuvir,2022-06-21 01:32:22,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
37,37,"“no se puede dejar la seguridad nuclear en manos de putin”, la advertencia de una premio nobel de la paz - infobae ",MariaElenaLlan4,2022-06-21 01:31:52,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
38,38,"@arayamas y falto un urra para maduro, ortega, arce, morales, fernandez y fernandez, petro, chavez, lula, rusel, pu… ",pdvilela59,2022-06-21 01:31:08,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
39,39,"putin: ""a empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" ",RosalioAquino,2022-06-21 01:31:04,163,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
40,40,"¡vete a la mierda, putin!(spanish)putinwarcrimes russianwarcrimes ukraine russiainvadedukraine",FuckPutinBot,2022-06-21 01:31:02,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
41,41, pinceladas sobre las especiales:-mano a mano portazgo-la ceràmica-que cuidada esta siempre sèneca-hay hoguera… ,cpascualr,2022-06-21 01:31:00,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
42,42,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,ELBEBECOOKE2021,2022-06-21 01:30:27,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
43,43,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",DanteGalli1,2022-06-21 01:30:26,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
44,44,"putin: ""la epoca del orden mundial unipolar ha terminado"" ",Alexand43092593,2022-06-21 01:30:20,2254,0,0.0,0.0,Positivo,0.0,0.769,0.231,0.34
45,45,@facardozo delincuentes fa pit periodistas militantes sicarios antisemitas se dan de moralista y trabajan para dictadores…,AndrewMartin456,2022-06-21 01:30:18,1,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
46,46,"jorge el hermoso defiende al gobierno y a techint. tambien defiende  la postura del potato con ucrania, critica a usa y…",AnaliaF94921971,2022-06-21 01:30:16,81,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
47,47,el discurso de putin seguro tendra resonancia en el eje multipolar presente en el foro economico de san petersburgo y ma…,hoswaldosg,2022-06-21 01:30:03,14,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
48,48,asi es el himno impuesto por putin en las guarderias de rusia: “la union europea no tiene opiniones propias” ,larazon_es,2022-06-21 01:30:02,0,0,0.0,0.0,Negativo,0.109,0.891,0.0,-0.296
49,49,"¡vete a la mierda, putin!(spanish)ukraineunderattack istandwithukraine fuckputin ukraine",FuckPutinBot,2022-06-21 01:30:02,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
50,50,"@voceroro pues mira, en retrospectiva, uno piensa que ellos pudieron haber hecho varias cosas mejor en rusia y hoy no existiria putin.",kaorufan1906,2022-06-21 01:29:25,0,0,0.0,0.0,Negativo,0.099,0.901,0.0,-0.296
51,51,"@storm_malaga joder…estaba en la orilla de la playa en rincon de la victoria y los he visto venir desde malaga, cru… ",Waytankung,2022-06-21 01:29:22,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
52,52,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",joseayalaar,2022-06-21 01:29:15,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
53,53,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,JordiMuozUllde1,2022-06-21 01:29:13,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
54,54,"putin veia como  zelenski utilizaba sus tropas para bombardear su propia poblacion, occidente les vendia armamento, el cual…",jennyca35561303,2022-06-21 01:29:11,54,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
55,55,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",perritotriste1,2022-06-21 01:29:11,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
56,56,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",ronivasco11,2022-06-21 01:29:08,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
57,57,"@lbgeraldino_n @miguelsabat @clcairo @doblerrster @rascanio57 @fmoral1959 @toroalvarol no se evito, no se soluciono… ",zuvir,2022-06-21 01:28:50,0,0,0.0,0.0,Negativo,0.286,0.714,0.0,-0.5267
58,58,"putin: ""a empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" ",Llanero42,2022-06-21 01:28:49,163,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
59,59,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",Monkfran,2022-06-21 01:28:12,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
60,60,china sigue financiando la invasion de putin a ucrania: sus importaciones de petroleo ruso aumentaron en mayo un 55 por…,oscartigre2019,2022-06-21 01:27:43,79,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
61,61,"reencuentro de dos niños ucranianos con su padre, luego de 3 meses en el frente de batalla. por esto estan peleando lo…",nicolisazo,2022-06-21 01:27:40,17,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
62,62,"putin veia como  zelenski utilizaba sus tropas para bombardear su propia poblacion, occidente les vendia armamento, el cual…",rocco_ultra,2022-06-21 01:27:08,54,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
63,63,"putin veia como  zelenski utilizaba sus tropas para bombardear su propia poblacion, occidente les vendia armamento, el cual…",luis_cordido,2022-06-21 01:27:06,54,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
64,64,@liusivaya lo q los medios occidentales no te mostraran!!! en verdad no son armas proibidas… son putin toys!!! ,clowdestino,2022-06-21 01:27:03,0,0,0.0,0.0,Negativo,0.271,0.729,0.0,-0.6776
65,65,china sigue financiando la invasion de putin a ucrania: sus importaciones de petroleo ruso aumentaron en mayo un 55 por…,HuarazN,2022-06-21 01:27:01,79,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
66,66,@gus_noriega la guerra es parte del plan de reset de las elites financieras internacionales sionistas y tecnocratas… ,diegovggsantafe,2022-06-21 01:26:54,0,1,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
67,67,"y, por cierto el otro dia vladimir putin dijo; el peor error que puede cometer la ue es integrar a ucrania en la ue… ",solo_capi,2022-06-21 01:26:47,0,0,0.0,0.0,Negativo,0.109,0.891,0.0,-0.4019
68,68,"putin: ""a empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" ",elinforman_t,2022-06-21 01:26:33,163,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
69,69,putin san petesburgo: viendo y escuchando cada dia me convenzo mas q nada justificaba la aplicacion en venezuela d maner…,marlonr2002,2022-06-21 01:26:31,272,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
70,70,"europa es un polvorin, en cualquier momento puede saltar la chispa que detone todo por los aires. no es menor lo qu… ",MontoyaOscar207,2022-06-21 01:26:10,0,0,0.0,0.0,Negativo,0.095,0.905,0.0,-0.296
71,71,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,DrParnassus20,2022-06-21 01:26:09,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
72,72,"putin tenia razon, jajajaja, les esta saliendo el tiro por la culata a los gringos ee. uu. admite efecto bum…",jennyca35561303,2022-06-21 01:26:08,11,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
73,73,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",Emymora10,2022-06-21 01:25:53,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
74,74,¿como para que?????se reunen ben stiller y zelensky ? eso no va a modificar el pensar de putin y tampoco va a hac… ,CaniHek,2022-06-21 01:25:40,0,0,0.0,0.0,Negativo,0.157,0.843,0.0,-0.4871
75,75," putin advierte fin del mundo, gates mas crisis, colombia socialista, ¿assange extraditado?  ",expox,2022-06-21 01:25:31,18,0,0.0,0.0,Negativo,0.272,0.728,0.0,-0.6249
76,76,"el presidente de china , xi jinping, aseguro al mandatario de rusia , vladimir putin, su apoyo en cuestiones de sobera…",FebreroRebelde7,2022-06-21 01:25:29,39,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
77,77,@pedrokonductaz bueno ahora que se vayan a usa y ojala putin le envio unos 20 misiles satan y acabe con esa plaga...,EnrafLopez,2022-06-21 01:25:21,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
78,78,"el presidente de china , xi jinping, aseguro al mandatario de rusia , vladimir putin, su apoyo en cuestiones de sobera…",miguelanggell,2022-06-21 01:25:21,39,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
79,79,porque no hace falta estar en la guerra para combatir a putin y ser un heroe... ,2006_tiburon,2022-06-21 01:25:13,0,1,0.0,0.0,Negativo,0.145,0.855,0.0,-0.296
80,80,"el tren con los tanques t-80bv que fue avisto hace un par de dias,  ha llegado a los (lpr) luganskmedios y redes… ",NotasDeHugo,2022-06-21 01:25:13,0,0,0.0,0.0,Positivo,0.0,0.888,0.112,0.34
81,81,@pochocapo21 @ziggyflamel @rafaeldidonato1 @fmarguery @alfredogarcia09 @jtrostchansky ssshi shhi nazi…claro pobre i… ,UnSoloUY,2022-06-21 01:25:09,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
82,82,@zuvir @clcairo @miguelsabat @doblerrster @rascanio57 @fmoral1959 @toroalvarol ¿bueno y que es un ultimatum para qu… ,lbgeraldino_n,2022-06-21 01:25:07,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
83,83,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",attorneypecera,2022-06-21 01:25:05,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
84,84,la direccion de e-mail detras de la que podrian esconderse usd 4.500 millones en propiedades de vladimir putin ,ASzkadun,2022-06-21 01:25:02,3,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
85,85,"""la epoca del orden mundial unipolar ha terminado""viva putin  ",CARLAPERNO,2022-06-21 01:24:58,94,0,0.0,0.0,Positivo,0.0,0.769,0.231,0.34
86,86,"vicky deja de desinformar a traves de ese pasquin de semana, la caida de las empresas petroleras es mundial por la guerra…",_mandalorian1,2022-06-21 01:24:37,4,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
87,87,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",enzo_log86,2022-06-21 01:24:04,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
88,88,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",teav2015,2022-06-21 01:24:04,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
89,89,"catedra de mi presidente vladimir putin de como tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",DaniloR03074448,2022-06-21 01:23:37,8,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
90,90,rusia la flota rusa del mar negro se ha alineado a lo largo de la costa occidental de crimea para un ataque masivo contr…,antonior1949,2022-06-21 01:23:37,45,0,0.0,0.0,Positivo,0.0,0.902,0.098,0.34
91,91,"integrante articulo.al descubierto, una red de empresas vinculadas al nazi putin, que poseen un capital de 4.500 m… ",vieques15,2022-06-21 01:23:30,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
92,92,"mientras putin manda medicos medicamentos y todo l necesario para atender a los heridos tanto militares , prisioneros…",bezerides,2022-06-21 01:23:27,2,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
93,93,"@cdcivica no respaldas a pancho por ser catolico, lo haces porque pancho, como buen peroncho argentino, es fanatico de putin",pukakunas,2022-06-21 01:23:27,0,0,0.0,0.0,Negativo,0.109,0.891,0.0,-0.296
94,94,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,mereyanamay,2022-06-21 01:23:15,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
95,95,"""la epoca del orden mundial unipolar ha terminado""viva putin  ",RodrigezThayri,2022-06-21 01:23:09,94,0,0.0,0.0,Positivo,0.0,0.769,0.231,0.34
96,96,"me cago en fidel castro, en hugo chavez, en el foro de san pablo, el grupo puebla, china, la union sovietica, el muro de…",Pabla2255102021,2022-06-21 01:23:09,1492,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
97,97,la periodista alemana alina lipp se enfrenta a 3 años de carcel por su cobertura de la guerra en ucrania. 3 años de carcel…,luciastemp,2022-06-21 01:23:03,2218,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
98,98,mas de 100.000 personas reclaman en georgia la adhesion a la union europea ,HerberthOlivos,2022-06-21 01:22:55,1,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
99,99,@perculaess @charly_g_p @liusivaya teniendo en cuenta el amplio repertorio del significado de objetivo militar en r… ,eljibumastr,2022-06-21 01:22:52,0,0,0.0,0.0,Neutral,0.0,1.0,0.0,0.0
